"filename", "language", "C++", "Markdown", "JSON", "CMake", "comment", "blank", "total"
"d:\code\Zaran2023\3rdparty\tecio\inc\StandardIntegralTypes.h", "C++", 190, 0, 0, 0, 95, 54, 339
"d:\code\Zaran2023\3rdparty\tecio\inc\TECIO.h", "C++", 1736, 0, 0, 0, 48, 307, 2091
"d:\code\Zaran2023\3rdparty\tecio\inc\tecio_Exports.h", "C++", 34, 0, 0, 0, 51, 8, 93
"d:\code\Zaran2023\Basic\Common\inc\BasicType.h", "C++", 25, 0, 0, 0, 0, 2, 27
"d:\code\Zaran2023\Basic\Common\inc\CommonPara.h", "C++", 19, 0, 0, 0, 12, 2, 33
"d:\code\Zaran2023\Basic\Common\inc\Idx.h", "C++", 47, 0, 0, 0, 0, 0, 47
"d:\code\Zaran2023\Basic\Common\src\CommonPara.cpp", "C++", 1, 0, 0, 0, 0, 1, 2
"d:\code\Zaran2023\Basic\Data\inc\GlobalData.h", "C++", 22, 0, 0, 0, 11, 0, 33
"d:\code\Zaran2023\Basic\Data\src\GlobalData.cpp", "C++", 91, 0, 0, 0, 0, 9, 100
"d:\code\Zaran2023\Basic\Grid\inc\BoundFN.h", "C++", 26, 0, 0, 0, 11, 0, 37
"d:\code\Zaran2023\Basic\Grid\inc\BoundMapFN.h", "C++", 16, 0, 0, 0, 11, 0, 27
"d:\code\Zaran2023\Basic\Grid\inc\BoundMapStruct.h", "C++", 16, 0, 0, 0, 0, 0, 16
"d:\code\Zaran2023\Basic\Grid\inc\BoundStruct.h", "C++", 31, 0, 0, 0, 56, 2, 89
"d:\code\Zaran2023\Basic\Grid\inc\CellBase.h", "C++", 15, 0, 0, 0, 0, 2, 17
"d:\code\Zaran2023\Basic\Grid\inc\CellFNFDM.h", "C++", 28, 0, 0, 0, 31, 0, 59
"d:\code\Zaran2023\Basic\Grid\inc\CellStruct.h", "C++", 19, 0, 0, 0, 2, 0, 21
"d:\code\Zaran2023\Basic\Grid\inc\FaceBase.h", "C++", 15, 0, 0, 0, 0, 2, 17
"d:\code\Zaran2023\Basic\Grid\inc\FaceFNFDM.h", "C++", 31, 0, 0, 0, 17, 1, 49
"d:\code\Zaran2023\Basic\Grid\inc\FaceStruct.h", "C++", 11, 0, 0, 0, 1, 2, 14
"d:\code\Zaran2023\Basic\Grid\inc\GridBase.h", "C++", 34, 0, 0, 0, 11, 0, 45
"d:\code\Zaran2023\Basic\Grid\inc\GridFNFDM.h", "C++", 42, 0, 0, 0, 11, 2, 55
"d:\code\Zaran2023\Basic\Grid\inc\GridList.h", "C++", 20, 0, 0, 0, 18, 0, 38
"d:\code\Zaran2023\Basic\Grid\inc\GridStruct.h", "C++", 35, 0, 0, 0, 32, 3, 70
"d:\code\Zaran2023\Basic\Grid\inc\InterNode.h", "C++", 24, 0, 0, 0, 15, 1, 40
"d:\code\Zaran2023\Basic\Grid\inc\NodeBase.h", "C++", 16, 0, 0, 0, 13, 0, 29
"d:\code\Zaran2023\Basic\Grid\inc\NodeFNFDM.h", "C++", 54, 0, 0, 0, 33, 0, 87
"d:\code\Zaran2023\Basic\Grid\inc\NodeStruct.h", "C++", 22, 0, 0, 0, 25, 1, 48
"d:\code\Zaran2023\Basic\Grid\inc\StarCDGrid.h", "C++", 84, 0, 0, 0, 31, 7, 122
