"filename", "language", "C++", "comment", "blank", "total"
"d:\code\Zaran2023\Basic\Grid\inc\BoundMapStruct.h", "C++", 2, 0, 0, 2
"d:\code\Zaran2023\Basic\Grid\inc\BoundStruct.h", "C++", 1, 0, 0, 1
"d:\code\Zaran2023\Basic\Grid\inc\GridBlock.h", "C++", 35, 0, 1, 36
"d:\code\Zaran2023\Basic\Grid\inc\NodeFNFDM.h", "C++", 1, 0, 0, 1
"d:\code\Zaran2023\Basic\Grid\src\BoundMapStruct.cpp", "C++", 8, 0, 1, 9
"d:\code\Zaran2023\Basic\Grid\src\GridBlock.cpp", "C++", 23, 0, 1, 24
"d:\code\Zaran2023\Basic\Grid\src\NodeFNFDM.cpp", "C++", 33, 0, 0, 33
"d:\code\Zaran2023\Factory\Field\src\FieldBuilder.cpp", "C++", 16, 2, 1, 19
"d:\code\Zaran2023\Factory\Grid\inc\FNGridFactory.h", "C++", 1, 0, 0, 1
"d:\code\Zaran2023\Factory\Grid\inc\GridBlockFactory.h", "C++", 29, 0, 2, 31
"d:\code\Zaran2023\Factory\Grid\inc\GridFNFactoryZaran.h", "C++", 105, 14, 9, 128
"d:\code\Zaran2023\Factory\Grid\inc\GridStructFactory.h", "C++", -54, -13, -4, -71
"d:\code\Zaran2023\Factory\Grid\inc\GridStructFactoryGridgen.h", "C++", 54, 13, 4, 71
"d:\code\Zaran2023\Factory\Grid\src\FNGridFactory.cpp", "C++", 13, 2, 1, 16
"d:\code\Zaran2023\Factory\Grid\src\GridBlockFactory.cpp", "C++", 186, 6, 1, 193
"d:\code\Zaran2023\Factory\Grid\src\GridFNFactoryZaran.cpp", "C++", 842, 7, 22, 871
"d:\code\Zaran2023\Factory\Grid\src\GridStructFactory.cpp", "C++", -1004, -8, -16, -1028
"d:\code\Zaran2023\Factory\Grid\src\GridStructFactoryGridgen.cpp", "C++", 1004, 8, 16, 1028
"d:\code\Zaran2023\Field\BasicField\Field\inc\GlobalField.h", "C++", 1, 0, 0, 1
"d:\code\Zaran2023\Field\BasicField\Field\src\GlobalField.cpp", "C++", 8, 0, 0, 8
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\inc\NSFieldZaran.h", "C++", -38, -3, 1, -40
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\src\NSFieldZaran.cpp", "C++", -418, 840, 7, 429
"Total", "-", 848, 868, 47, 1763
